order_id,customer_id,warehouse_id,order_datetime,required_delivery_date,province,city,priority_level,order_status
ORD_0000041,CUST_01981,WH_004,2026-01-10 06:30:00,2026-01-11,Zhejiang,Hangzhou,normal,delivered
ORD_0000042,CUST_00767,WH_016,2026-01-10 19:31:00,2026-01-11,Zhejiang,Wenzhou,normal,picking
ORD_0000043,CUST_00653,WH_025,2026-01-10 16:16:00,2026-01-12,Zhejiang,Hangzhou,normal,delivered
ORD_0000044,CUST_00962,WH_007,2026-01-10 20:24:00,2026-01-11,Jiangsu,Wuxi,normal,picked
ORD_0000045,CUST_01404,WH_021,2026-01-10 08:15:00,2026-01-11,Zhejiang,Hangzhou,normal,pending
ORD_0000046,CUST_01485,WH_023,2026-01-10 09:06:00,2026-01-11,Henan,Zhengzhou,normal,picked
ORD_0000047,CUST_00221,WH_027,2026-01-10 08:49:00,2026-01-11,Jiangsu,Nanjing,normal,picking
ORD_0000048,CUST_00430,WH_013,2026-01-10 09:27:00,2026-01-11,Guangdong,Dongguan,high,pending
ORD_0000049,CUST_01774,WH_019,2026-01-10 08:15:00,2026-01-11,Sichuan,Deyang,high,picked
ORD_0000050,CUST_00683,WH_015,2026-01-10 16:30:00,2026-01-11,Henan,Zhengzhou,normal,dispatched
ORD_0000051,CUST_00325,WH_030,2026-01-10 06:41:00,2026-01-11,Hubei,Xiangyang,normal,picked
ORD_0000052,CUST_01046,WH_029,2026-01-10 08:51:00,2026-01-11,Henan,Zhengzhou,normal,picked
ORD_0000053,CUST_01477,WH_016,2026-01-10 19:06:00,2026-01-11,Guangdong,Guangzhou,normal,picking
ORD_0000054,CUST_00735,WH_002,2026-01-10 08:41:00,2026-01-11,Jiangsu,Nanjing,normal,picked
ORD_0000055,CUST_01609,WH_011,2026-01-10 06:09:00,2026-01-11,Guangdong,Guangzhou,normal,dispatched
ORD_0000056,CUST_00313,WH_030,2026-01-10 06:02:00,2026-01-11,Hubei,Yichang,normal,delivered
ORD_0000057,CUST_01269,WH_016,2026-01-10 14:33:00,2026-01-11,Hubei,Xiangyang,normal,delivered
ORD_0000058,CUST_00541,WH_020,2026-01-10 14:53:00,2026-01-12,Zhejiang,Wenzhou,normal,picked
ORD_0000059,CUST_01719,WH_013,2026-01-10 16:32:00,2026-01-11,Jiangsu,Nanjing,normal,dispatched
ORD_0000060,CUST_00025,WH_016,2026-01-10 18:17:00,2026-01-11,Hubei,Yichang,high,picked
ORD_0000061,CUST_01660,WH_020,2026-01-10 16:15:00,2026-01-11,Sichuan,Deyang,normal,pending
ORD_0000062,CUST_00389,WH_027,2026-01-10 18:15:00,2026-01-11,Hubei,Yichang,high,picked
ORD_0000063,CUST_01814,WH_017,2026-01-10 16:50:00,2026-01-11,Zhejiang,Hangzhou,normal,pending
ORD_0000064,CUST_01066,WH_001,2026-01-10 07:23:00,2026-01-12,Hubei,Wuhan,normal,picking
ORD_0000065,CUST_00026,WH_025,2026-01-10 13:53:00,2026-01-12,Zhejiang,Wenzhou,normal,delivered
ORD_0000066,CUST_01287,WH_028,2026-01-10 16:47:00,2026-01-11,Jiangsu,Nanjing,normal,picking
ORD_0000067,CUST_00297,WH_001,2026-01-10 12:58:00,2026-01-11,Sichuan,Mianyang,normal,dispatched
ORD_0000068,CUST_00230,WH_008,2026-01-10 08:32:00,2026-01-11,Henan,Kaifeng,normal,picking
ORD_0000069,CUST_00767,WH_009,2026-01-10 16:24:00,2026-01-11,Zhejiang,Wenzhou,normal,picked
ORD_0000070,CUST_01536,WH_007,2026-01-10 06:22:00,2026-01-11,Henan,Kaifeng,normal,pending
ORD_0000071,CUST_01388,WH_029,2026-01-10 16:24:00,2026-01-11,Zhejiang,Ningbo,normal,delivered
ORD_0000072,CUST_00715,WH_011,2026-01-10 19:57:00,2026-01-11,Shandong,Yantai,normal,pending
ORD_0000073,CUST_01123,WH_023,2026-01-10 17:50:00,2026-01-11,Guangdong,Dongguan,normal,picking
ORD_0000074,CUST_01155,WH_027,2026-01-10 18:06:00,2026-01-12,Hubei,Yichang,normal,picked
ORD_0000075,CUST_01048,WH_011,2026-01-10 10:51:00,2026-01-12,Hubei,Yichang,normal,dispatched
ORD_0000076,CUST_01260,WH_020,2026-01-10 21:48:00,2026-01-11,Jiangsu,Wuxi,high,picked
ORD_0000077,CUST_01699,WH_016,2026-01-10 12:41:00,2026-01-11,Shandong,Jinan,normal,dispatched
ORD_0000078,CUST_01554,WH_024,2026-01-10 08:45:00,2026-01-11,Hubei,Wuhan,high,delivered
ORD_0000079,CUST_00696,WH_014,2026-01-10 17:36:00,2026-01-12,Guangdong,Guangzhou,high,dispatched
ORD_0000080,CUST_00849,WH_024,2026-01-10 21:20:00,2026-01-11,Hubei,Yichang,urgent,picked
ORD_0000081,CUST_01954,WH_004,2026-01-10 18:54:00,2026-01-11,Sichuan,Mianyang,normal,picked
ORD_0000082,CUST_01020,WH_028,2026-01-10 17:43:00,2026-01-11,Sichuan,Mianyang,high,dispatched
ORD_0000083,CUST_01361,WH_026,2026-01-10 17:26:00,2026-01-11,Guangdong,Dongguan,normal,picking
ORD_0000084,CUST_01731,WH_006,2026-01-10 20:59:00,2026-01-11,Zhejiang,Ningbo,normal,picking
ORD_0000085,CUST_01926,WH_010,2026-01-10 08:00:00,2026-01-11,Zhejiang,Wenzhou,normal,pending
ORD_0000086,CUST_01420,WH_008,2026-01-10 06:57:00,2026-01-11,Hubei,Yichang,normal,delivered
ORD_0000087,CUST_01699,WH_020,2026-01-10 13:10:00,2026-01-11,Shandong,Jinan,normal,picked
ORD_0000088,CUST_00310,WH_010,2026-01-10 14:18:00,2026-01-11,Jiangsu,Nanjing,normal,dispatched
ORD_0000089,CUST_01692,WH_021,2026-01-10 19:50:00,2026-01-11,Henan,Zhengzhou,normal,picked
ORD_0000090,CUST_01935,WH_025,2026-01-10 15:28:00,2026-01-12,Zhejiang,Ningbo,normal,picked
ORD_0000091,CUST_01312,WH_025,2026-01-10 09:53:00,2026-01-11,Zhejiang,Wenzhou,normal,dispatched
ORD_0000092,CUST_01272,WH_011,2026-01-10 07:29:00,2026-01-12,Hubei,Wuhan,high,picked
ORD_0000093,CUST_00378,WH_021,2026-01-10 14:40:00,2026-01-12,Hubei,Xiangyang,urgent,dispatched
ORD_0000094,CUST_01597,WH_026,2026-01-10 14:53:00,2026-01-11,Guangdong,Dongguan,normal,picking
ORD_0000095,CUST_00988,WH_005,2026-01-10 10:06:00,2026-01-11,Zhejiang,Wenzhou,normal,pending
ORD_0000096,CUST_00240,WH_004,2026-01-10 13:07:00,2026-01-11,Hubei,Xiangyang,normal,dispatched
ORD_0000097,CUST_00739,WH_002,2026-01-10 14:22:00,2026-01-11,Zhejiang,Hangzhou,normal,dispatched
ORD_0000098,CUST_01404,WH_004,2026-01-10 21:57:00,2026-01-11,Zhejiang,Hangzhou,normal,picking
ORD_0000099,CUST_01721,WH_014,2026-01-10 07:17:00,2026-01-11,Hubei,Yichang,normal,delivered
ORD_0000100,CUST_01257,WH_004,2026-01-10 14:49:00,2026-01-11,Shandong,Qingdao,high,picked
ORD_0000101,CUST_01422,WH_009,2026-01-10 08:48:00,2026-01-11,Guangdong,Shenzhen,normal,dispatched
ORD_0000102,CUST_01784,WH_002,2026-01-10 14:47:00,2026-01-11,Hubei,Yichang,normal,picked
ORD_0000103,CUST_00877,WH_017,2026-01-10 07:13:00,2026-01-11,Zhejiang,Ningbo,high,pending
ORD_0000104,CUST_00770,WH_012,2026-01-10 12:27:00,2026-01-11,Zhejiang,Ningbo,normal,picking
ORD_0000105,CUST_00164,WH_002,2026-01-10 08:53:00,2026-01-11,Zhejiang,Wenzhou,normal,picked
ORD_0000106,CUST_01836,WH_001,2026-01-10 21:19:00,2026-01-12,Sichuan,Mianyang,high,delivered
ORD_0000107,CUST_01198,WH_028,2026-01-10 17:50:00,2026-01-11,Shandong,Qingdao,normal,picked
ORD_0000108,CUST_01766,WH_027,2026-01-10 13:03:00,2026-01-11,Zhejiang,Wenzhou,normal,dispatched
ORD_0000109,CUST_01833,WH_028,2026-01-10 09:32:00,2026-01-11,Jiangsu,Nanjing,normal,picked
ORD_0000110,CUST_01917,WH_008,2026-01-10 09:48:00,2026-01-11,Henan,Zhengzhou,normal,picked
ORD_0000111,CUST_00842,WH_022,2026-01-10 18:08:00,2026-01-11,Hubei,Wuhan,high,dispatched
ORD_0000112,CUST_01288,WH_017,2026-01-10 20:31:00,2026-01-11,Zhejiang,Hangzhou,normal,picking
ORD_0000113,CUST_01232,WH_019,2026-01-10 14:17:00,2026-01-11,Henan,Kaifeng,high,delivered
ORD_0000114,CUST_00656,WH_001,2026-01-10 16:01:00,2026-01-11,Guangdong,Guangzhou,high,picking
ORD_0000115,CUST_01486,WH_009,2026-01-10 20:34:00,2026-01-11,Hubei,Xiangyang,normal,delivered
ORD_0000116,CUST_01681,WH_024,2026-01-10 16:50:00,2026-01-11,Guangdong,Shenzhen,normal,dispatched
ORD_0000117,CUST_01964,WH_020,2026-01-10 17:21:00,2026-01-11,Zhejiang,Hangzhou,normal,picked
ORD_0000118,CUST_00973,WH_018,2026-01-10 19:18:00,2026-01-12,Shandong,Qingdao,normal,picked
ORD_0000119,CUST_01895,WH_023,2026-01-10 08:13:00,2026-01-12,Guangdong,Guangzhou,normal,delivered
ORD_0000120,CUST_00086,WH_023,2026-01-10 14:11:00,2026-01-12,Guangdong,Guangzhou,normal,pending
ORD_0000121,CUST_00525,WH_010,2026-01-10 11:53:00,2026-01-11,Sichuan,Deyang,normal,dispatched
ORD_0000122,CUST_00074,WH_030,2026-01-10 20:34:00,2026-01-11,Zhejiang,Ningbo,high,picking
ORD_0000123,CUST_01860,WH_030,2026-01-10 14:23:00,2026-01-11,Zhejiang,Wenzhou,normal,dispatched
ORD_0000124,CUST_00371,WH_020,2026-01-10 16:59:00,2026-01-11,Hubei,Wuhan,normal,dispatched
ORD_0000125,CUST_01230,WH_021,2026-01-10 14:17:00,2026-01-11,Henan,Luoyang,normal,picking
ORD_0000126,CUST_01579,WH_005,2026-01-10 15:45:00,2026-01-12,Guangdong,Dongguan,normal,pending
ORD_0000127,CUST_01223,WH_020,2026-01-10 14:12:00,2026-01-12,Jiangsu,Wuxi,urgent,delivered
ORD_0000128,CUST_00016,WH_011,2026-01-10 15:43:00,2026-01-11,Guangdong,Dongguan,normal,delivered
ORD_0000129,CUST_00405,WH_002,2026-01-10 15:48:00,2026-01-11,Sichuan,Deyang,normal,pending
ORD_0000130,CUST_00278,WH_003,2026-01-10 17:08:00,2026-01-11,Hubei,Xiangyang,high,pending
ORD_0000131,CUST_01795,WH_023,2026-01-10 18:38:00,2026-01-11,Zhejiang,Hangzhou,normal,dispatched
ORD_0000132,CUST_01099,WH_001,2026-01-10 06:24:00,2026-01-11,Hubei,Xiangyang,normal,dispatched
ORD_0000133,CUST_00794,WH_022,2026-01-10 18:10:00,2026-01-11,Henan,Zhengzhou,high,dispatched
ORD_0000134,CUST_01528,WH_003,2026-01-10 17:58:00,2026-01-11,Sichuan,Mianyang,normal,picking
ORD_0000135,CUST_01859,WH_027,2026-01-10 08:20:00,2026-01-12,Shandong,Qingdao,normal,delivered
ORD_0000136,CUST_01991,WH_013,2026-01-10 16:11:00,2026-01-11,Sichuan,Deyang,normal,pending
ORD_0000137,CUST_01568,WH_001,2026-01-10 19:44:00,2026-01-11,Zhejiang,Hangzhou,normal,picked
ORD_0000138,CUST_00572,WH_020,2026-01-10 13:05:00,2026-01-11,Sichuan,Mianyang,normal,pending
ORD_0000139,CUST_00168,WH_029,2026-01-10 16:04:00,2026-01-11,Shandong,Qingdao,high,picked
ORD_0000140,CUST_01738,WH_011,2026-01-10 14:38:00,2026-01-11,Jiangsu,Nanjing,normal,pending
ORD_0000141,CUST_00457,WH_019,2026-01-10 21:22:00,2026-01-11,Hubei,Yichang,normal,dispatched
ORD_0000142,CUST_00252,WH_027,2026-01-10 09:19:00,2026-01-11,Guangdong,Dongguan,normal,delivered
ORD_0000143,CUST_01058,WH_010,2026-01-10 21:04:00,2026-01-11,Zhejiang,Wenzhou,urgent,picked
ORD_0000144,CUST_01731,WH_016,2026-01-10 15:11:00,2026-01-11,Zhejiang,Ningbo,high,picking
ORD_0000145,CUST_00574,WH_006,2026-01-10 07:42:00,2026-01-11,Sichuan,Chengdu,high,dispatched
ORD_0000146,CUST_01953,WH_004,2026-01-10 18:21:00,2026-01-11,Sichuan,Chengdu,normal,dispatched
ORD_0000147,CUST_01732,WH_006,2026-01-10 11:37:00,2026-01-11,Shandong,Yantai,normal,picked
ORD_0000148,CUST_01292,WH_011,2026-01-10 06:03:00,2026-01-11,Guangdong,Guangzhou,high,picking
ORD_0000149,CUST_00829,WH_009,2026-01-10 13:41:00,2026-01-11,Henan,Kaifeng,normal,delivered
ORD_0000150,CUST_00492,WH_018,2026-01-10 09:31:00,2026-01-11,Jiangsu,Wuxi,normal,picking
ORD_0000151,CUST_00927,WH_001,2026-01-10 20:55:00,2026-01-11,Zhejiang,Ningbo,normal,dispatched
ORD_0000152,CUST_01448,WH_017,2026-01-10 19:55:00,2026-01-11,Zhejiang,Ningbo,normal,dispatched
ORD_0000153,CUST_01046,WH_023,2026-01-10 14:42:00,2026-01-11,Henan,Zhengzhou,normal,dispatched
ORD_0000154,CUST_01614,WH_010,2026-01-10 21:47:00,2026-01-11,Henan,Zhengzhou,normal,picked
ORD_0000155,CUST_01609,WH_014,2026-01-10 10:02:00,2026-01-11,Guangdong,Guangzhou,normal,picked
ORD_0000156,CUST_00091,WH_030,2026-01-10 09:59:00,2026-01-11,Henan,Kaifeng,normal,picked
ORD_0000157,CUST_00040,WH_014,2026-01-10 12:31:00,2026-01-11,Jiangsu,Nanjing,urgent,dispatched
ORD_0000158,CUST_01624,WH_007,2026-01-10 15:37:00,2026-01-11,Henan,Zhengzhou,normal,picked
ORD_0000159,CUST_01038,WH_014,2026-01-10 10:17:00,2026-01-11,Zhejiang,Ningbo,normal,dispatched
ORD_0000160,CUST_00761,WH_025,2026-01-10 11:25:00,2026-01-11,Sichuan,Deyang,normal,delivered
ORD_0000161,CUST_01911,WH_006,2026-01-10 20:24:00,2026-01-11,Guangdong,Guangzhou,normal,dispatched
ORD_0000162,CUST_00845,WH_021,2026-01-10 11:29:00,2026-01-11,Zhejiang,Ningbo,normal,pending
ORD_0000163,CUST_01969,WH_022,2026-01-10 10:45:00,2026-01-11,Shandong,Qingdao,normal,dispatched
ORD_0000164,CUST_01794,WH_008,2026-01-10 15:37:00,2026-01-11,Hubei,Xiangyang,normal,delivered
ORD_0000165,CUST_00481,WH_003,2026-01-10 09:44:00,2026-01-11,Shandong,Jinan,high,dispatched
ORD_0000166,CUST_00931,WH_013,2026-01-10 21:36:00,2026-01-11,Henan,Zhengzhou,high,dispatched
ORD_0000167,CUST_00077,WH_025,2026-01-10 06:39:00,2026-01-11,Shandong,Qingdao,normal,dispatched
ORD_0000168,CUST_01906,WH_025,2026-01-10 14:25:00,2026-01-12,Zhejiang,Ningbo,normal,picked
ORD_0000169,CUST_01013,WH_021,2026-01-10 12:55:00,2026-01-11,Shandong,Yantai,normal,picking
ORD_0000170,CUST_00951,WH_014,2026-01-10 21:15:00,2026-01-11,Zhejiang,Ningbo,normal,picking
ORD_0000171,CUST_00519,WH_017,2026-01-10 16:48:00,2026-01-12,Hubei,Yichang,normal,picked
ORD_0000172,CUST_00091,WH_020,2026-01-10 10:49:00,2026-01-11,Henan,Kaifeng,normal,picking
ORD_0000173,CUST_01387,WH_020,2026-01-10 17:09:00,2026-01-11,Hubei,Wuhan,high,delivered
ORD_0000174,CUST_00838,WH_023,2026-01-10 09:27:00,2026-01-11,Zhejiang,Ningbo,normal,picked
ORD_0000175,CUST_01210,WH_016,2026-01-10 11:28:00,2026-01-12,Hubei,Yichang,normal,picking
ORD_0000176,CUST_01080,WH_028,2026-01-10 11:34:00,2026-01-11,Zhejiang,Wenzhou,normal,picked
ORD_0000177,CUST_01122,WH_019,2026-01-10 21:44:00,2026-01-11,Zhejiang,Wenzhou,normal,picking
ORD_0000178,CUST_00122,WH_024,2026-01-10 12:07:00,2026-01-11,Jiangsu,Nanjing,normal,dispatched
ORD_0000179,CUST_01307,WH_003,2026-01-10 20:39:00,2026-01-11,Guangdong,Guangzhou,normal,picked
ORD_0000180,CUST_01623,WH_021,2026-01-10 14:19:00,2026-01-11,Zhejiang,Hangzhou,normal,picking
ORD_0000181,CUST_01236,WH_030,2026-01-10 13:33:00,2026-01-11,Zhejiang,Hangzhou,normal,dispatched
ORD_0000182,CUST_01802,WH_023,2026-01-10 21:50:00,2026-01-11,Zhejiang,Hangzhou,high,dispatched
ORD_0000183,CUST_00090,WH_025,2026-01-10 15:27:00,2026-01-11,Henan,Luoyang,high,pending
ORD_0000184,CUST_01539,WH_022,2026-01-10 13:33:00,2026-01-11,Shandong,Qingdao,normal,dispatched
ORD_0000185,CUST_00285,WH_004,2026-01-10 17:01:00,2026-01-11,Shandong,Yantai,normal,delivered
ORD_0000186,CUST_00201,WH_014,2026-01-10 07:00:00,2026-01-11,Zhejiang,Wenzhou,normal,picking
ORD_0000187,CUST_01961,WH_001,2026-01-10 08:50:00,2026-01-11,Zhejiang,Ningbo,normal,pending
ORD_0000188,CUST_01819,WH_015,2026-01-10 11:38:00,2026-01-11,Zhejiang,Ningbo,normal,picked
ORD_0000189,CUST_00426,WH_018,2026-01-10 11:47:00,2026-01-11,Jiangsu,Suzhou,normal,dispatched
ORD_0000190,CUST_01047,WH_012,2026-01-10 21:56:00,2026-01-11,Guangdong,Guangzhou,high,picked
ORD_0000191,CUST_01596,WH_015,2026-01-10 15:08:00,2026-01-12,Henan,Zhengzhou,normal,picked
ORD_0000192,CUST_00900,WH_012,2026-01-10 14:27:00,2026-01-11,Hubei,Xiangyang,high,delivered
ORD_0000193,CUST_01135,WH_005,2026-01-10 14:07:00,2026-01-11,Jiangsu,Wuxi,normal,dispatched
ORD_0000194,CUST_01745,WH_019,2026-01-10 19:15:00,2026-01-11,Guangdong,Guangzhou,normal,pending
ORD_0000195,CUST_01031,WH_001,2026-01-10 14:36:00,2026-01-11,Hubei,Wuhan,normal,picked
ORD_0000196,CUST_01786,WH_008,2026-01-10 21:17:00,2026-01-11,Jiangsu,Wuxi,normal,picking
ORD_0000197,CUST_01135,WH_005,2026-01-10 16:29:00,2026-01-11,Jiangsu,Wuxi,high,picking
ORD_0000198,CUST_00437,WH_009,2026-01-10 09:24:00,2026-01-12,Guangdong,Dongguan,normal,picking
ORD_0000199,CUST_00770,WH_010,2026-01-10 18:34:00,2026-01-11,Zhejiang,Ningbo,normal,picked
ORD_0000200,CUST_01740,WH_005,2026-01-10 09:23:00,2026-01-11,Henan,Zhengzhou,normal,picking
ORD_0000201,CUST_00740,WH_010,2026-01-10 13:33:00,2026-01-11,Shandong,Yantai,high,picking
ORD_0000202,CUST_01561,WH_007,2026-01-10 12:50:00,2026-01-11,Henan,Kaifeng,normal,pending
ORD_0000203,CUST_01723,WH_014,2026-01-10 07:29:00,2026-01-11,Guangdong,Dongguan,urgent,picked
ORD_0000204,CUST_01971,WH_030,2026-01-10 17:09:00,2026-01-12,Hubei,Yichang,normal,dispatched
ORD_0000205,CUST_00915,WH_012,2026-01-10 20:22:00,2026-01-11,Zhejiang,Hangzhou,normal,picked
ORD_0000206,CUST_00462,WH_016,2026-01-10 19:54:00,2026-01-11,Guangdong,Shenzhen,normal,picked
ORD_0000207,CUST_01345,WH_021,2026-01-10 14:56:00,2026-01-11,Zhejiang,Hangzhou,normal,pending
ORD_0000208,CUST_00158,WH_019,2026-01-10 13:13:00,2026-01-11,Zhejiang,Ningbo,normal,picked
ORD_0000209,CUST_01287,WH_024,2026-01-10 07:07:00,2026-01-11,Jiangsu,Nanjing,urgent,dispatched
ORD_0000210,CUST_01088,WH_002,2026-01-10 10:08:00,2026-01-11,Shandong,Qingdao,normal,picked
ORD_0000211,CUST_01215,WH_002,2026-01-10 16:53:00,2026-01-11,Zhejiang,Wenzhou,normal,delivered
ORD_0000212,CUST_00738,WH_007,2026-01-10 17:02:00,2026-01-11,Sichuan,Deyang,urgent,dispatched
ORD_0000213,CUST_01718,WH_009,2026-01-10 07:53:00,2026-01-11,Shandong,Qingdao,high,dispatched
ORD_0000214,CUST_00212,WH_015,2026-01-10 17:19:00,2026-01-11,Zhejiang,Ningbo,normal,picked
ORD_0000215,CUST_01275,WH_002,2026-01-10 17:19:00,2026-01-11,Guangdong,Shenzhen,normal,dispatched
ORD_0000216,CUST_01463,WH_029,2026-01-10 18:17:00,2026-01-11,Zhejiang,Hangzhou,normal,dispatched
ORD_0000217,CUST_00925,WH_003,2026-01-10 20:33:00,2026-01-11,Shandong,Qingdao,normal,picked
ORD_0000218,CUST_01216,WH_020,2026-01-10 16:35:00,2026-01-11,Zhejiang,Ningbo,normal,delivered
ORD_0000219,CUST_01970,WH_013,2026-01-10 14:14:00,2026-01-11,Hubei,Yichang,normal,picked
ORD_0000220,CUST_00559,WH_001,2026-01-10 10:01:00,2026-01-11,Shandong,Qingdao,normal,dispatched
ORD_0000221,CUST_01937,WH_002,2026-01-10 18:36:00,2026-01-11,Sichuan,Deyang,normal,picked
ORD_0000222,CUST_01953,WH_026,2026-01-10 19:13:00,2026-01-12,Sichuan,Chengdu,normal,dispatched
ORD_0000223,CUST_00051,WH_013,2026-01-10 06:09:00,2026-01-11,Hubei,Yichang,urgent,dispatched
ORD_0000224,CUST_00487,WH_021,2026-01-10 08:51:00,2026-01-11,Guangdong,Dongguan,normal,dispatched
ORD_0000225,CUST_01963,WH_002,2026-01-10 07:12:00,2026-01-12,Zhejiang,Ningbo,normal,delivered
ORD_0000226,CUST_01513,WH_028,2026-01-10 15:15:00,2026-01-11,Zhejiang,Hangzhou,normal,dispatched
ORD_0000227,CUST_01588,WH_014,2026-01-10 20:10:00,2026-01-11,Guangdong,Guangzhou,normal,dispatched
ORD_0000228,CUST_01273,WH_022,2026-01-10 08:13:00,2026-01-11,Zhejiang,Wenzhou,urgent,picked
ORD_0000229,CUST_00405,WH_008,2026-01-10 12:32:00,2026-01-12,Sichuan,Deyang,normal,pending
ORD_0000230,CUST_00615,WH_018,2026-01-10 08:15:00,2026-01-11,Shandong,Qingdao,normal,pending
ORD_0000231,CUST_01900,WH_003,2026-01-10 07:17:00,2026-01-11,Zhejiang,Hangzhou,normal,pending
ORD_0000232,CUST_00600,WH_013,2026-01-10 08:55:00,2026-01-11,Zhejiang,Ningbo,normal,delivered
ORD_0000233,CUST_00898,WH_006,2026-01-10 21:40:00,2026-01-11,Guangdong,Guangzhou,normal,dispatched
ORD_0000234,CUST_00096,WH_030,2026-01-10 08:36:00,2026-01-11,Hubei,Yichang,high,picked
ORD_0000235,CUST_00789,WH_029,2026-01-10 11:41:00,2026-01-11,Shandong,Jinan,normal,picked
ORD_0000236,CUST_00405,WH_009,2026-01-10 10:30:00,2026-01-11,Sichuan,Deyang,normal,picked
ORD_0000237,CUST_00273,WH_009,2026-01-10 17:53:00,2026-01-11,Shandong,Qingdao,normal,picking
