inventory_id,warehouse_id,bin_id,sku_id,batch_id,manufacture_date,expiry_date,received_date,quantity_available,quantity_reserved,quality_status,days_to_expiry
INV_0000031,WH_022,WH_022_COOL_149,SKU_01450,BATCH_0000031,2025-01-23,2027-01-23,2025-01-24,23,0,good,241
INV_0000032,WH_022,WH_022_AMBIENT_141,SKU_02650,BATCH_0000032,2026-04-10,2027-12-20,2026-04-17,25,0,good,572
INV_0000033,WH_006,WH_006_AMBIENT_110,SKU_00163,BATCH_0000033,2026-02-24,2027-09-09,2026-02-26,120,0,good,470
INV_0000034,WH_021,WH_021_AMBIENT_163,SKU_01016,BATCH_0000034,2026-05-21,2027-08-23,2026-05-30,29,4,good,453
INV_0000035,WH_002,WH_002_COLD_047,SKU_02074,BATCH_0000035,2026-01-16,2026-11-19,2026-01-22,34,0,good,176
INV_0000036,WH_017,WH_017_COOL_014,SKU_01273,BATCH_0000036,2024-11-18,2026-11-18,2024-11-21,6,0,good,175
INV_0000037,WH_011,WH_011_AMBIENT_163,SKU_02799,BATCH_0000037,2026-04-15,2027-12-22,2026-04-20,1,0,good,574
INV_0000038,WH_008,WH_008_FROZEN_061,SKU_01944,BATCH_0000038,2025-08-13,2027-08-13,2025-08-25,79,0,good,443
INV_0000039,WH_003,WH_003_AMBIENT_164,SKU_00800,BATCH_0000039,2025-11-02,2027-05-11,2025-11-11,10,0,good,349
INV_0000040,WH_004,WH_004_COOL_187,SKU_00808,BATCH_0000040,2026-05-08,2028-05-07,2026-05-20,24,1,good,711
INV_0000041,WH_013,WH_013_FROZEN_031,SKU_01218,BATCH_0000041,2026-03-26,2028-03-25,2026-03-31,50,8,good,668
INV_0000042,WH_007,WH_007_AMBIENT_125,SKU_01002,BATCH_0000042,2025-11-02,2026-11-02,2025-11-08,11,0,good,159
INV_0000043,WH_018,WH_018_AMBIENT_197,SKU_02930,BATCH_0000043,2025-09-13,2026-09-13,2025-09-19,62,0,good,109
INV_0000044,WH_030,WH_030_AMBIENT_122,SKU_01976,BATCH_0000044,2026-03-11,2027-03-11,2026-03-13,17,0,good,288
INV_0000045,WH_006,WH_006_AMBIENT_106,SKU_00288,BATCH_0000045,2024-11-04,2026-11-24,2024-11-11,1,0,good,181
INV_0000046,WH_016,WH_016_AMBIENT_123,SKU_02424,BATCH_0000046,2025-11-25,2026-11-25,2025-12-06,23,0,good,182
INV_0000047,WH_004,WH_004_COOL_196,SKU_00959,BATCH_0000047,2025-12-25,2027-12-25,2025-12-28,27,0,good,577
INV_0000048,WH_001,WH_001_COOL_112,SKU_02198,BATCH_0000048,2025-11-04,2026-11-05,2025-11-10,28,0,good,162
INV_0000049,WH_009,WH_009_AMBIENT_087,SKU_02124,BATCH_0000049,2025-12-28,2026-12-28,2026-01-03,5,1,good,215
INV_0000050,WH_005,WH_005_AMBIENT_030,SKU_02932,BATCH_0000050,2025-05-22,2026-11-03,2025-05-24,9,0,good,160
INV_0000051,WH_015,WH_015_COLD_058,SKU_01610,BATCH_0000051,2026-02-05,2027-02-05,2026-02-16,8,2,good,254
INV_0000052,WH_022,WH_022_COOL_135,SKU_00685,BATCH_0000052,2026-03-06,2028-01-12,2026-03-10,15,0,good,595
INV_0000053,WH_012,WH_012_AMBIENT_042,SKU_02169,BATCH_0000053,2025-05-25,2026-08-09,2025-05-28,16,0,good,74
INV_0000054,WH_027,WH_027_COOL_144,SKU_01882,BATCH_0000054,2026-05-22,2027-11-06,2026-06-02,19,0,good,528
INV_0000055,WH_016,WH_016_AMBIENT_076,SKU_02346,BATCH_0000055,2026-01-02,2027-03-22,2026-01-10,370,0,good,299
INV_0000056,WH_015,WH_015_AMBIENT_174,SKU_01911,BATCH_0000056,2026-03-25,2027-03-25,2026-03-27,95,0,good,302
INV_0000057,WH_011,WH_011_AMBIENT_063,SKU_00017,BATCH_0000057,2026-01-05,2027-12-11,2026-01-08,17,0,good,563
INV_0000058,WH_012,WH_012_AMBIENT_151,SKU_00926,BATCH_0000058,2026-01-22,2027-11-15,2026-02-01,6,0,good,537
INV_0000059,WH_005,WH_005_COOL_195,SKU_02845,BATCH_0000059,2025-07-13,2027-07-13,2025-07-23,3,0,good,412
INV_0000060,WH_023,WH_023_AMBIENT_148,SKU_00285,BATCH_0000060,2025-09-28,2026-09-28,2025-10-03,27,0,good,124
INV_0000061,WH_016,WH_016_COOL_100,SKU_00950,BATCH_0000061,2025-05-08,2027-05-08,2025-05-13,9,0,good,346
INV_0000062,WH_004,WH_004_FROZEN_180,SKU_02582,BATCH_0000062,2024-10-16,2026-10-16,2024-10-20,43,6,good,142
INV_0000063,WH_006,WH_006_AMBIENT_079,SKU_02287,BATCH_0000063,2024-05-01,2027-02-12,2024-05-10,10,2,good,261
INV_0000064,WH_005,WH_005_AMBIENT_186,SKU_00278,BATCH_0000064,2026-05-04,2028-06-04,2026-05-17,72,10,good,739
INV_0000065,WH_007,WH_007_AMBIENT_147,SKU_00580,BATCH_0000065,2026-02-16,2027-12-07,2026-02-21,21,0,good,559
INV_0000066,WH_021,WH_021_AMBIENT_066,SKU_00288,BATCH_0000066,2025-08-07,2027-08-27,2025-08-13,138,0,good,457
INV_0000067,WH_024,WH_024_COOL_144,SKU_01888,BATCH_0000067,2026-01-06,2026-09-06,2026-01-07,2,0,good,102
INV_0000068,WH_007,WH_007_COOL_111,SKU_01434,BATCH_0000068,2024-12-06,2026-12-06,2024-12-07,10,0,good,193
INV_0000069,WH_028,WH_028_AMBIENT_047,SKU_00321,BATCH_0000069,2026-03-19,2027-03-19,2026-03-29,39,1,good,296
INV_0000070,WH_008,WH_008_COLD_171,SKU_00818,BATCH_0000070,2026-02-08,2026-06-13,2026-02-10,9,3,good,17
INV_0000071,WH_002,WH_002_COLD_130,SKU_00656,BATCH_0000071,2025-11-19,2026-11-19,2025-11-25,48,12,good,176
INV_0000072,WH_008,WH_008_COLD_077,SKU_01761,BATCH_0000072,2025-10-22,2026-10-22,2025-10-31,7,1,good,148
INV_0000073,WH_013,WH_013_AMBIENT_107,SKU_00185,BATCH_0000073,2026-04-20,2027-04-20,2026-05-03,31,0,good,328
INV_0000074,WH_009,WH_009_COLD_090,SKU_00588,BATCH_0000074,2026-05-23,2027-05-23,2026-05-25,4,0,good,361
INV_0000075,WH_028,WH_028_COLD_065,SKU_00578,BATCH_0000075,2025-11-25,2026-09-24,2025-12-05,315,0,good,120
INV_0000076,WH_002,WH_002_COOL_012,SKU_00527,BATCH_0000076,2025-05-04,2027-05-04,2025-05-07,16,1,good,342
INV_0000077,WH_014,WH_014_AMBIENT_101,SKU_02894,BATCH_0000077,2025-02-09,2027-07-03,2025-02-14,13,3,good,402
INV_0000078,WH_004,WH_004_AMBIENT_127,SKU_02254,BATCH_0000078,2025-07-11,2026-12-03,2025-07-23,50,0,good,190
INV_0000079,WH_001,WH_001_COLD_164,SKU_02989,BATCH_0000079,2025-11-07,2026-11-07,2025-11-15,40,15,good,164
INV_0000080,WH_021,WH_021_COLD_198,SKU_01779,BATCH_0000080,2025-10-15,2026-10-15,2025-10-27,7,0,good,141
INV_0000081,WH_029,WH_029_AMBIENT_046,SKU_01735,BATCH_0000081,2026-04-13,2027-04-13,2026-04-15,8,0,good,321
INV_0000082,WH_008,WH_008_COOL_123,SKU_02816,BATCH_0000082,2026-03-18,2026-12-06,2026-03-30,26,2,good,193
INV_0000083,WH_028,WH_028_AMBIENT_110,SKU_00083,BATCH_0000083,2026-05-23,2027-05-23,2026-05-31,35,6,good,361
INV_0000084,WH_022,WH_022_AMBIENT_173,SKU_01986,BATCH_0000084,2025-03-27,2026-07-19,2025-03-30,555,0,good,53
INV_0000085,WH_001,WH_001_AMBIENT_087,SKU_02988,BATCH_0000085,2026-05-01,2027-05-01,2026-05-12,18,0,good,339
INV_0000086,WH_020,WH_020_AMBIENT_195,SKU_01582,BATCH_0000086,2025-09-03,2026-09-03,2025-09-08,29,0,good,99
INV_0000087,WH_017,WH_017_AMBIENT_157,SKU_00706,BATCH_0000087,2025-08-18,2026-08-18,2025-08-26,6,0,good,83
INV_0000088,WH_005,WH_005_AMBIENT_108,SKU_01499,BATCH_0000088,2025-10-12,2026-10-12,2025-10-22,110,0,good,138
INV_0000089,WH_004,WH_004_COOL_019,SKU_00243,BATCH_0000089,2025-02-02,2027-02-02,2025-02-11,11,0,good,251
INV_0000090,WH_022,WH_022_AMBIENT_200,SKU_01067,BATCH_0000090,2026-04-16,2027-04-16,2026-04-29,2,0,good,324
INV_0000091,WH_011,WH_011_AMBIENT_137,SKU_00924,BATCH_0000091,2026-04-29,2027-04-29,2026-04-30,25,0,good,337
INV_0000092,WH_014,WH_014_COOL_154,SKU_01803,BATCH_0000092,2025-11-14,2027-11-14,2025-11-27,6,0,good,536
INV_0000093,WH_019,WH_019_COOL_134,SKU_01472,BATCH_0000093,2025-12-13,2027-12-13,2025-12-18,54,0,good,565
INV_0000094,WH_027,WH_027_COOL_118,SKU_02100,BATCH_0000094,2025-06-12,2026-08-20,2025-06-13,26,0,good,85
INV_0000095,WH_004,WH_004_AMBIENT_140,SKU_01945,BATCH_0000095,2025-10-09,2026-10-09,2025-10-17,42,4,good,135
INV_0000096,WH_025,WH_025_AMBIENT_089,SKU_01293,BATCH_0000096,2024-07-10,2027-01-12,2024-07-14,15,0,good,230
INV_0000097,WH_004,WH_004_AMBIENT_049,SKU_01099,BATCH_0000097,2025-08-12,2026-11-29,2025-08-16,53,0,good,186
INV_0000098,WH_018,WH_018_COLD_111,SKU_00747,BATCH_0000098,2026-02-03,2027-02-03,2026-02-14,1,0,good,252
INV_0000099,WH_001,WH_001_AMBIENT_078,SKU_02830,BATCH_0000099,2026-04-06,2028-10-27,2026-04-13,24,5,good,884
INV_0000100,WH_021,WH_021_COOL_166,SKU_02624,BATCH_0000100,2026-01-16,2026-12-04,2026-01-22,19,0,good,191
INV_0000101,WH_017,WH_017_AMBIENT_074,SKU_01193,BATCH_0000101,2025-03-25,2027-12-17,2025-04-02,2,0,good,569
INV_0000102,WH_001,WH_001_AMBIENT_181,SKU_01772,BATCH_0000102,2025-07-04,2026-12-25,2025-07-05,120,0,good,212
INV_0000103,WH_022,WH_022_COOL_004,SKU_00730,BATCH_0000103,2025-05-30,2027-05-30,2025-06-07,25,0,good,368
INV_0000104,WH_019,WH_019_AMBIENT_178,SKU_02340,BATCH_0000104,2025-08-26,2027-03-24,2025-09-04,68,0,good,301
INV_0000105,WH_025,WH_025_COLD_157,SKU_01180,BATCH_0000105,2026-05-11,2026-09-16,2026-05-13,154,60,good,112
INV_0000106,WH_026,WH_026_AMBIENT_158,SKU_02590,BATCH_0000106,2025-08-04,2028-06-15,2025-08-15,3,0,good,750
INV_0000107,WH_004,WH_004_COOL_090,SKU_01554,BATCH_0000107,2026-02-21,2027-03-09,2026-03-06,33,0,good,286
INV_0000108,WH_005,WH_005_AMBIENT_170,SKU_01566,BATCH_0000108,2025-09-04,2027-05-09,2025-09-15,0,0,good,347
INV_0000109,WH_027,WH_027_AMBIENT_149,SKU_00905,BATCH_0000109,2026-05-16,2029-01-18,2026-05-19,1,0,good,967
INV_0000110,WH_007,WH_007_AMBIENT_182,SKU_00172,BATCH_0000110,2026-02-25,2028-05-03,2026-02-28,57,0,good,707
INV_0000111,WH_006,WH_006_AMBIENT_186,SKU_01445,BATCH_0000111,2025-09-25,2027-06-02,2025-09-26,33,0,good,371
INV_0000112,WH_017,WH_017_AMBIENT_093,SKU_01122,BATCH_0000112,2026-05-05,2027-05-05,2026-05-08,33,0,good,343
INV_0000113,WH_010,WH_010_COOL_185,SKU_02551,BATCH_0000113,2026-05-18,2028-04-11,2026-05-22,17,0,good,685
INV_0000114,WH_019,WH_019_AMBIENT_177,SKU_01655,BATCH_0000114,2025-08-13,2027-02-22,2025-08-16,19,4,good,271
INV_0000115,WH_010,WH_010_AMBIENT_187,SKU_00480,BATCH_0000115,2026-01-10,2027-11-16,2026-01-19,17,0,good,538
INV_0000116,WH_028,WH_028_COLD_035,SKU_00029,BATCH_0000116,2026-05-11,2027-05-11,2026-05-17,7,0,good,349
INV_0000117,WH_019,WH_019_AMBIENT_008,SKU_00904,BATCH_0000117,2024-11-22,2026-11-22,2024-11-24,7,1,good,179
INV_0000118,WH_013,WH_013_COLD_060,SKU_02057,BATCH_0000118,2026-03-04,2027-03-04,2026-03-06,20,0,good,281
INV_0000119,WH_007,WH_007_AMBIENT_169,SKU_01638,BATCH_0000119,2025-06-14,2026-08-16,2025-06-21,1,0,good,81
INV_0000120,WH_008,WH_008_AMBIENT_113,SKU_03000,BATCH_0000120,2026-04-14,2028-01-04,2026-04-17,10,0,good,587
INV_0000121,WH_016,WH_016_AMBIENT_164,SKU_02985,BATCH_0000121,2026-01-08,2027-03-18,2026-01-21,26,3,good,295
INV_0000122,WH_014,WH_014_COOL_146,SKU_01820,BATCH_0000122,2025-03-12,2027-03-12,2025-03-15,21,2,good,289
INV_0000123,WH_015,WH_015_COLD_068,SKU_02185,BATCH_0000123,2026-05-03,2026-10-04,2026-05-05,22,0,good,130
INV_0000124,WH_016,WH_016_COOL_173,SKU_02654,BATCH_0000124,2026-03-28,2027-01-07,2026-03-30,28,8,good,225
INV_0000125,WH_002,WH_002_AMBIENT_045,SKU_02039,BATCH_0000125,2025-12-11,2027-01-06,2025-12-23,16,0,good,224
INV_0000126,WH_011,WH_011_COLD_035,SKU_01171,BATCH_0000126,2026-04-03,2026-10-07,2026-04-12,13,0,good,133
INV_0000127,WH_013,WH_013_COOL_193,SKU_01452,BATCH_0000127,2025-10-22,2027-06-04,2025-11-04,36,0,good,373
INV_0000128,WH_023,WH_023_COLD_188,SKU_01884,BATCH_0000128,2025-11-19,2026-11-19,2025-11-30,10,0,good,176
INV_0000129,WH_029,WH_029_AMBIENT_037,SKU_01201,BATCH_0000129,2025-03-26,2027-02-10,2025-03-28,93,0,good,259
INV_0000130,WH_023,WH_023_COOL_054,SKU_01020,BATCH_0000130,2026-04-19,2028-04-18,2026-04-28,1,0,good,692
INV_0000131,WH_013,WH_013_AMBIENT_183,SKU_02888,BATCH_0000131,2025-05-30,2026-07-28,2025-06-11,9,0,good,62
INV_0000132,WH_011,WH_011_COOL_096,SKU_00919,BATCH_0000132,2025-12-13,2027-05-10,2025-12-21,4,0,good,348
INV_0000133,WH_001,WH_001_AMBIENT_057,SKU_01941,BATCH_0000133,2026-01-04,2028-03-17,2026-01-09,10,0,good,660
INV_0000134,WH_016,WH_016_AMBIENT_091,SKU_02388,BATCH_0000134,2025-10-31,2028-04-06,2025-11-10,47,0,good,680
INV_0000135,WH_021,WH_021_FROZEN_112,SKU_00296,BATCH_0000135,2026-03-03,2028-03-02,2026-03-09,32,8,good,645
INV_0000136,WH_002,WH_002_COOL_058,SKU_01561,BATCH_0000136,2026-05-23,2028-05-22,2026-05-30,11,3,good,726
INV_0000137,WH_013,WH_013_AMBIENT_142,SKU_01099,BATCH_0000137,2026-04-13,2027-07-31,2026-04-15,7,1,good,430
INV_0000138,WH_020,WH_020_COOL_088,SKU_02941,BATCH_0000138,2025-11-07,2027-01-11,2025-11-19,23,0,good,229
INV_0000139,WH_028,WH_028_COLD_089,SKU_00491,BATCH_0000139,2026-04-08,2026-09-28,2026-04-17,32,2,good,124
INV_0000140,WH_010,WH_010_AMBIENT_162,SKU_00481,BATCH_0000140,2026-03-01,2027-08-19,2026-03-12,86,0,good,449
INV_0000141,WH_025,WH_025_COLD_134,SKU_00045,BATCH_0000141,2025-11-15,2026-11-15,2025-11-16,12,0,good,172
INV_0000142,WH_010,WH_010_AMBIENT_018,SKU_02590,BATCH_0000142,2025-09-03,2028-07-15,2025-09-09,32,0,good,780
INV_0000143,WH_015,WH_015_COOL_191,SKU_00516,BATCH_0000143,2025-03-28,2026-09-26,2025-04-02,5,0,good,122
INV_0000144,WH_025,WH_025_FROZEN_005,SKU_01093,BATCH_0000144,2025-10-20,2026-12-25,2025-10-29,6,0,good,212
INV_0000145,WH_013,WH_013_COLD_170,SKU_02820,BATCH_0000145,2026-02-26,2026-07-13,2026-03-01,30,0,good,47
INV_0000146,WH_009,WH_009_COLD_117,SKU_00990,BATCH_0000146,2026-05-27,2027-03-17,2026-06-08,6,0,good,294
INV_0000147,WH_013,WH_013_AMBIENT_074,SKU_00549,BATCH_0000147,2025-02-01,2026-09-10,2025-02-02,224,0,good,106
INV_0000148,WH_007,WH_007_COLD_064,SKU_01832,BATCH_0000148,2025-11-01,2026-10-24,2025-11-14,23,0,good,150
INV_0000149,WH_019,WH_019_AMBIENT_089,SKU_02245,BATCH_0000149,2026-02-12,2028-03-21,2026-02-17,18,0,good,664
INV_0000150,WH_023,WH_023_AMBIENT_195,SKU_01606,BATCH_0000150,2025-12-29,2027-06-15,2026-01-04,35,0,good,384
INV_0000151,WH_005,WH_005_COLD_059,SKU_00979,BATCH_0000151,2026-05-26,2027-03-11,2026-06-02,35,0,good,288
INV_0000152,WH_003,WH_003_AMBIENT_014,SKU_02231,BATCH_0000152,2025-12-14,2028-09-09,2025-12-27,38,0,good,836
INV_0000153,WH_019,WH_019_COOL_144,SKU_02353,BATCH_0000153,2025-12-12,2026-12-28,2025-12-14,7,0,good,215
INV_0000154,WH_010,WH_010_COOL_191,SKU_01297,BATCH_0000154,2025-07-13,2026-07-30,2025-07-25,5,0,good,64
INV_0000155,WH_004,WH_004_COLD_152,SKU_00518,BATCH_0000155,2026-04-25,2027-04-25,2026-05-07,12,0,good,333
INV_0000156,WH_011,WH_011_COOL_028,SKU_02942,BATCH_0000156,2025-10-29,2026-08-17,2025-11-10,12,4,good,82
INV_0000157,WH_021,WH_021_AMBIENT_184,SKU_00566,BATCH_0000157,2025-12-09,2028-02-18,2025-12-22,12,0,good,632
INV_0000158,WH_007,WH_007_COOL_109,SKU_02953,BATCH_0000158,2025-02-18,2027-02-18,2025-02-28,46,0,good,267
INV_0000159,WH_004,WH_004_COLD_131,SKU_00379,BATCH_0000159,2026-04-02,2027-04-02,2026-04-03,15,0,good,310
INV_0000160,WH_012,WH_012_COLD_075,SKU_01147,BATCH_0000160,2025-10-17,2026-10-17,2025-10-26,175,0,good,143
INV_0000161,WH_005,WH_005_COLD_187,SKU_02025,BATCH_0000161,2025-12-23,2026-10-05,2025-12-29,31,0,good,131
INV_0000162,WH_030,WH_030_AMBIENT_116,SKU_00611,BATCH_0000162,2025-06-26,2027-08-31,2025-07-06,31,0,good,461
INV_0000163,WH_017,WH_017_COOL_024,SKU_02940,BATCH_0000163,2026-02-25,2028-02-25,2026-03-05,5,0,good,639
INV_0000164,WH_018,WH_018_AMBIENT_008,SKU_02852,BATCH_0000164,2025-10-11,2026-10-11,2025-10-20,4,0,good,137
INV_0000165,WH_002,WH_002_AMBIENT_096,SKU_00984,BATCH_0000165,2025-11-17,2026-11-17,2025-11-30,17,1,good,174
INV_0000166,WH_014,WH_014_AMBIENT_093,SKU_00889,BATCH_0000166,2025-04-12,2027-09-05,2025-04-18,23,0,good,466
INV_0000167,WH_029,WH_029_AMBIENT_038,SKU_00921,BATCH_0000167,2026-04-27,2027-10-09,2026-05-03,0,0,good,500
INV_0000168,WH_030,WH_030_AMBIENT_085,SKU_00340,BATCH_0000168,2025-08-23,2027-09-13,2025-09-03,3,0,good,474
INV_0000169,WH_018,WH_018_AMBIENT_128,SKU_02682,BATCH_0000169,2025-12-01,2027-03-17,2025-12-07,56,0,good,294
INV_0000170,WH_002,WH_002_AMBIENT_134,SKU_00862,BATCH_0000170,2025-09-25,2028-02-13,2025-10-06,7,0,good,627
INV_0000171,WH_019,WH_019_AMBIENT_165,SKU_01641,BATCH_0000171,2026-02-22,2027-07-23,2026-02-28,8,0,good,422
INV_0000172,WH_018,WH_018_AMBIENT_193,SKU_02375,BATCH_0000172,2026-03-12,2027-03-12,2026-03-22,37,0,good,289
INV_0000173,WH_029,WH_029_AMBIENT_059,SKU_01707,BATCH_0000173,2024-09-27,2027-09-19,2024-10-07,17,0,good,480
INV_0000174,WH_013,WH_013_COLD_171,SKU_02161,BATCH_0000174,2025-10-18,2026-10-18,2025-10-25,11,0,good,144
INV_0000175,WH_023,WH_023_FROZEN_030,SKU_00499,BATCH_0000175,2025-06-23,2026-10-19,2025-06-29,19,0,good,145
INV_0000176,WH_008,WH_008_AMBIENT_193,SKU_02630,BATCH_0000176,2025-07-11,2026-08-17,2025-07-17,28,0,good,82
INV_0000177,WH_029,WH_029_AMBIENT_078,SKU_02965,BATCH_0000177,2025-08-18,2026-08-18,2025-08-23,4,0,good,83
INV_0000178,WH_025,WH_025_AMBIENT_060,SKU_00951,BATCH_0000178,2026-01-10,2027-01-10,2026-01-15,24,0,good,228
INV_0000179,WH_020,WH_020_COLD_157,SKU_02174,BATCH_0000179,2026-01-19,2026-08-01,2026-01-26,11,0,good,66
INV_0000180,WH_026,WH_026_COOL_038,SKU_00273,BATCH_0000180,2025-12-09,2027-07-19,2025-12-12,63,0,good,418
INV_0000181,WH_022,WH_022_AMBIENT_147,SKU_01911,BATCH_0000181,2026-02-09,2027-02-09,2026-02-10,17,0,good,258
INV_0000182,WH_016,WH_016_AMBIENT_123,SKU_00492,BATCH_0000182,2024-09-26,2026-11-27,2024-09-27,4,0,good,184
INV_0000183,WH_001,WH_001_COOL_192,SKU_00586,BATCH_0000183,2024-10-07,2026-10-07,2024-10-18,15,1,good,133
INV_0000184,WH_014,WH_014_AMBIENT_196,SKU_01005,BATCH_0000184,2025-03-01,2026-12-28,2025-03-07,25,0,good,215
INV_0000185,WH_002,WH_002_COOL_178,SKU_01034,BATCH_0000185,2025-11-05,2027-11-05,2025-11-12,44,0,good,527
INV_0000186,WH_022,WH_022_COLD_058,SKU_00751,BATCH_0000186,2026-05-17,2026-09-27,2026-05-22,53,0,good,123
INV_0000187,WH_023,WH_023_AMBIENT_154,SKU_02583,BATCH_0000187,2026-03-12,2027-04-21,2026-03-16,41,11,good,329
INV_0000188,WH_002,WH_002_COLD_122,SKU_01591,BATCH_0000188,2026-05-07,2026-11-29,2026-05-20,34,0,good,186
INV_0000189,WH_014,WH_014_COLD_067,SKU_02127,BATCH_0000189,2026-04-11,2027-01-05,2026-04-13,28,0,good,223
INV_0000190,WH_007,WH_007_COOL_001,SKU_00617,BATCH_0000190,2025-05-23,2027-05-23,2025-06-01,56,0,good,361
INV_0000191,WH_010,WH_010_COOL_090,SKU_02631,BATCH_0000191,2025-06-28,2027-03-12,2025-07-09,6,0,good,289
INV_0000192,WH_010,WH_010_AMBIENT_192,SKU_01843,BATCH_0000192,2025-05-08,2026-08-09,2025-05-16,13,0,good,74
INV_0000193,WH_030,WH_030_COLD_028,SKU_00667,BATCH_0000193,2026-03-21,2027-03-21,2026-03-28,8,2,good,298
INV_0000194,WH_015,WH_015_AMBIENT_022,SKU_02492,BATCH_0000194,2026-04-27,2027-08-03,2026-05-05,36,0,good,433
INV_0000195,WH_025,WH_025_COOL_176,SKU_00101,BATCH_0000195,2025-12-20,2027-12-20,2025-12-26,10,0,good,572
INV_0000196,WH_002,WH_002_COOL_121,SKU_01376,BATCH_0000196,2025-12-23,2027-11-28,2026-01-03,14,0,good,550
INV_0000197,WH_017,WH_017_COOL_050,SKU_00117,BATCH_0000197,2025-01-24,2026-08-09,2025-01-27,29,0,good,74
INV_0000198,WH_024,WH_024_COOL_109,SKU_00586,BATCH_0000198,2024-10-29,2026-10-29,2024-11-08,146,0,good,155
