order_id,client_type,sku_count,temperature,deadline_hours,priority,volume,status,timestamp,time_window
ORD-20260031,Chain Pharmacy,10,Deep Frozen,16.3,Standard,125,Completed,02:07:06,Night (0-6h)
ORD-20260032,Independent Pharmacy,3,Ambient,8.6,Urgent,30,Pending Dispatch,09:10:18,Morning Peak (8-12h)
ORD-20260033,Primary Healthcare,4,Cold,19.6,Standard,89,Picking in Progress,09:52:48,Morning Peak (8-12h)
ORD-20260034,Public Hospital,9,Cold,8.6,Urgent,48,Picking in Progress,17:13:56,Evening Peak (16-20h)
ORD-20260035,Chain Pharmacy,10,Cold,15.2,Standard,38,Picking in Progress,09:01:40,Morning Peak (8-12h)
ORD-20260036,Public Hospital,8,Deep Frozen,11.3,Standard,44,Pending Dispatch,09:22:18,Morning Peak (8-12h)
ORD-20260037,Primary Healthcare,6,Deep Frozen,13.5,Urgent,77,Pending Dispatch,13:31:40,Afternoon (12-16h)
ORD-20260038,Primary Healthcare,10,Cool,4.4,Critical,146,Pending Dispatch,06:29:20,Early (6-8h)
ORD-20260039,Public Hospital,4,Ambient,3.6,Critical,25,Completed,06:30:29,Early (6-8h)
ORD-20260040,Chain Pharmacy,9,Cold,13.8,Urgent,82,Picking in Progress,09:43:13,Morning Peak (8-12h)
ORD-20260041,Primary Healthcare,9,Cold,7.2,Urgent,69,Pending Dispatch,06:34:50,Early (6-8h)
ORD-20260042,Independent Pharmacy,8,Cool,4.3,Critical,85,Completed,06:59:18,Early (6-8h)
ORD-20260043,Public Hospital,3,Deep Frozen,3.3,Critical,72,Picking in Progress,09:43:08,Morning Peak (8-12h)
ORD-20260044,Independent Pharmacy,1,Ambient,8.2,Urgent,68,Pending Dispatch,17:28:20,Evening Peak (16-20h)
ORD-20260045,Primary Healthcare,7,Cold,15.8,Standard,34,Picking in Progress,13:26:31,Afternoon (12-16h)
ORD-20260046,Primary Healthcare,5,Cool,5.6,Urgent,119,Completed,13:52:04,Afternoon (12-16h)
ORD-20260047,Public Hospital,8,Cool,17.5,Urgent,22,Pending Dispatch,13:38:37,Afternoon (12-16h)
ORD-20260048,Independent Pharmacy,7,Cold,14.9,Standard,70,Completed,02:54:33,Night (0-6h)
ORD-20260049,Chain Pharmacy,9,Frozen,5.0,Urgent,74,Pending Dispatch,09:14:15,Morning Peak (8-12h)
ORD-20260050,Independent Pharmacy,9,Frozen,4.4,Critical,15,Pending Dispatch,17:22:05,Evening Peak (16-20h)
ORD-20260051,Independent Pharmacy,7,Cold,3.5,Critical,8,Completed,09:48:34,Morning Peak (8-12h)
ORD-20260052,Primary Healthcare,8,Cold,6.0,Urgent,41,Completed,09:34:00,Morning Peak (8-12h)
ORD-20260053,Chain Pharmacy,2,Cool,2.6,Critical,22,Picking in Progress,06:05:50,Early (6-8h)
ORD-20260054,Chain Pharmacy,7,Ambient,3.0,Critical,124,Pending Dispatch,13:14:30,Afternoon (12-16h)
ORD-20260055,Public Hospital,3,Frozen,9.2,Urgent,103,Picking in Progress,17:56:56,Evening Peak (16-20h)
ORD-20260056,Chain Pharmacy,7,Cool,5.1,Urgent,37,Pending Dispatch,13:53:15,Afternoon (12-16h)
ORD-20260057,Primary Healthcare,6,Frozen,4.4,Critical,35,Completed,09:39:09,Morning Peak (8-12h)
ORD-20260058,Public Hospital,8,Cold,8.2,Urgent,36,Picking in Progress,06:08:51,Early (6-8h)
ORD-20260059,Public Hospital,6,Cold,8.9,Urgent,149,Picking in Progress,13:57:31,Afternoon (12-16h)
ORD-20260060,Independent Pharmacy,9,Frozen,11.2,Urgent,61,Picking in Progress,21:26:01,Late (20-24h)
ORD-20260061,Primary Healthcare,4,Cold,8.3,Urgent,46,Picking in Progress,17:17:14,Evening Peak (16-20h)
ORD-20260062,Primary Healthcare,9,Deep Frozen,19.0,Urgent,93,Picking in Progress,13:29:42,Afternoon (12-16h)
ORD-20260063,Independent Pharmacy,9,Cool,1.8,Critical,126,Exception,13:28:27,Afternoon (12-16h)
ORD-20260064,Public Hospital,4,Ambient,13.6,Standard,74,Picking in Progress,09:05:09,Morning Peak (8-12h)
ORD-20260065,Public Hospital,3,Cool,13.2,Standard,132,Picking in Progress,17:41:47,Evening Peak (16-20h)
ORD-20260066,Chain Pharmacy,6,Ambient,8.9,Urgent,142,Pending Dispatch,13:46:20,Afternoon (12-16h)
ORD-20260067,Primary Healthcare,7,Deep Frozen,9.7,Urgent,120,Pending Dispatch,13:02:02,Afternoon (12-16h)
ORD-20260068,Independent Pharmacy,3,Ambient,5.3,Urgent,32,Picking in Progress,13:59:05,Afternoon (12-16h)
ORD-20260069,Public Hospital,8,Ambient,1.8,Critical,64,Completed,17:38:32,Evening Peak (16-20h)
ORD-20260070,Chain Pharmacy,9,Cool,1.7,Critical,95,Picking in Progress,21:01:04,Late (20-24h)
ORD-20260071,Primary Healthcare,2,Cool,9.0,Urgent,121,Pending Dispatch,09:53:42,Morning Peak (8-12h)
ORD-20260072,Chain Pharmacy,4,Cold,16.3,Urgent,140,Completed,09:55:22,Morning Peak (8-12h)
ORD-20260073,Chain Pharmacy,10,Cool,14.7,Standard,11,Pending Dispatch,06:37:43,Early (6-8h)
ORD-20260074,Chain Pharmacy,6,Cool,13.8,Standard,60,Pending Dispatch,13:17:13,Afternoon (12-16h)
ORD-20260075,Primary Healthcare,5,Cold,17.6,Urgent,7,Picking in Progress,06:15:31,Early (6-8h)
ORD-20260076,Primary Healthcare,7,Cool,20.0,Urgent,99,Pending Dispatch,13:28:41,Afternoon (12-16h)
ORD-20260077,Independent Pharmacy,10,Cool,2.7,Critical,149,Pending Dispatch,17:08:52,Evening Peak (16-20h)
ORD-20260078,Public Hospital,7,Cold,18.3,Critical,132,Completed,02:40:11,Night (0-6h)
ORD-20260079,Independent Pharmacy,4,Ambient,8.6,Urgent,97,Picking in Progress,17:05:14,Evening Peak (16-20h)
ORD-20260080,Independent Pharmacy,1,Ambient,14.8,Standard,116,Picking in Progress,13:00:17,Afternoon (12-16h)
ORD-20260081,Primary Healthcare,3,Deep Frozen,17.1,Standard,53,Picking in Progress,13:32:30,Afternoon (12-16h)
ORD-20260082,Public Hospital,5,Cold,2.9,Critical,130,Completed,17:55:19,Evening Peak (16-20h)
ORD-20260083,Primary Healthcare,7,Cold,18.1,Urgent,133,Exception,09:15:36,Morning Peak (8-12h)
ORD-20260084,Public Hospital,2,Ambient,7.9,Urgent,13,Picking in Progress,13:05:42,Afternoon (12-16h)
ORD-20260085,Primary Healthcare,7,Cool,17.8,Critical,16,Completed,09:29:07,Morning Peak (8-12h)
ORD-20260086,Primary Healthcare,4,Cool,5.0,Urgent,132,Picking in Progress,13:09:12,Afternoon (12-16h)
ORD-20260087,Public Hospital,10,Cool,18.6,Standard,10,Completed,09:01:57,Morning Peak (8-12h)
ORD-20260088,Primary Healthcare,4,Frozen,2.5,Critical,78,Completed,09:08:23,Morning Peak (8-12h)
ORD-20260089,Primary Healthcare,8,Ambient,7.0,Urgent,55,Picking in Progress,09:59:47,Morning Peak (8-12h)
ORD-20260090,Chain Pharmacy,1,Frozen,5.6,Urgent,13,Completed,02:25:38,Night (0-6h)
ORD-20260091,Public Hospital,8,Frozen,9.5,Urgent,114,Picking in Progress,13:16:03,Afternoon (12-16h)
ORD-20260092,Public Hospital,3,Deep Frozen,12.5,Urgent,95,Picking in Progress,09:27:12,Morning Peak (8-12h)
ORD-20260093,Public Hospital,5,Frozen,18.4,Standard,23,Pending Dispatch,13:21:27,Afternoon (12-16h)
ORD-20260094,Primary Healthcare,6,Frozen,19.6,Urgent,32,Completed,09:30:04,Morning Peak (8-12h)
ORD-20260095,Primary Healthcare,10,Cool,6.9,Urgent,93,Picking in Progress,06:28:48,Early (6-8h)
ORD-20260096,Independent Pharmacy,6,Cool,5.4,Urgent,28,Pending Dispatch,13:42:55,Afternoon (12-16h)
ORD-20260097,Chain Pharmacy,4,Ambient,16.6,Critical,23,Pending Dispatch,09:36:03,Morning Peak (8-12h)
ORD-20260098,Independent Pharmacy,7,Deep Frozen,6.6,Urgent,127,Completed,06:56:34,Early (6-8h)
ORD-20260099,Primary Healthcare,1,Cool,16.0,Standard,110,Picking in Progress,06:05:50,Early (6-8h)
ORD-20260100,Primary Healthcare,1,Frozen,9.6,Urgent,51,Completed,06:05:22,Early (6-8h)
ORD-20260101,Chain Pharmacy,6,Frozen,18.6,Standard,32,Picking in Progress,02:03:22,Night (0-6h)
ORD-20260102,Primary Healthcare,3,Cool,14.5,Standard,110,Picking in Progress,06:51:47,Early (6-8h)
ORD-20260103,Independent Pharmacy,5,Cool,20.0,Standard,137,Completed,13:44:33,Afternoon (12-16h)
ORD-20260104,Chain Pharmacy,5,Cold,3.0,Critical,80,Completed,09:04:07,Morning Peak (8-12h)
ORD-20260105,Primary Healthcare,2,Deep Frozen,13.2,Urgent,102,Pending Dispatch,21:07:19,Late (20-24h)
ORD-20260106,Chain Pharmacy,7,Cool,2.2,Critical,146,Picking in Progress,13:53:28,Afternoon (12-16h)
ORD-20260107,Chain Pharmacy,2,Frozen,19.7,Standard,104,Picking in Progress,13:22:58,Afternoon (12-16h)
ORD-20260108,Primary Healthcare,4,Ambient,14.3,Critical,95,Pending Dispatch,09:21:23,Morning Peak (8-12h)
ORD-20260109,Chain Pharmacy,1,Cold,4.9,Critical,64,Picking in Progress,09:40:47,Morning Peak (8-12h)
ORD-20260110,Primary Healthcare,8,Ambient,1.7,Critical,113,Pending Dispatch,02:31:35,Night (0-6h)
ORD-20260111,Primary Healthcare,10,Ambient,18.7,Urgent,7,Picking in Progress,09:19:03,Morning Peak (8-12h)
ORD-20260112,Independent Pharmacy,3,Frozen,6.9,Urgent,51,Pending Dispatch,13:45:51,Afternoon (12-16h)
ORD-20260113,Primary Healthcare,8,Cold,12.4,Standard,31,Pending Dispatch,09:21:29,Morning Peak (8-12h)
ORD-20260114,Public Hospital,10,Frozen,7.1,Urgent,116,Picking in Progress,02:32:39,Night (0-6h)
ORD-20260115,Public Hospital,2,Cold,16.6,Urgent,86,Picking in Progress,09:42:54,Morning Peak (8-12h)
ORD-20260116,Public Hospital,2,Ambient,3.7,Critical,84,Picking in Progress,02:18:59,Night (0-6h)
ORD-20260117,Chain Pharmacy,2,Frozen,18.4,Standard,77,Picking in Progress,13:05:37,Afternoon (12-16h)
ORD-20260118,Public Hospital,6,Cool,3.2,Critical,131,Picking in Progress,06:06:55,Early (6-8h)
ORD-20260119,Public Hospital,7,Ambient,4.3,Critical,81,Pending Dispatch,17:58:48,Evening Peak (16-20h)
ORD-20260120,Independent Pharmacy,2,Ambient,1.8,Critical,57,Picking in Progress,13:53:32,Afternoon (12-16h)
